objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237652628565393479,8.62887112425565,-11.1777771820731,17.93322,16.53652,15.98814,15.77386,15.68753,1666,301,1,248,3495934135103496192,STAR,-0.0001398217,3105,54825,54,G5,0.717,5426,-0.04
1237652628565393493,8.54021766863133,-11.0862992693984,19.23722,17.95485,17.41249,17.1708,17.08046,1666,301,1,248,3495933860225589248,STAR,-0.0002476172,3105,54825,53,G8Vp,0.754,5047,-1.34
1237652628565458954,8.69069542002326,-11.1969887159123,18.12874,17.26027,16.88616,16.74379,16.65587,1666,301,1,249,3495925613888380928,GALAXY,0,3105,54825,23,,0,0,0
1237652628565524509,8.87234053200113,-11.2347875392,18.49931,17.14666,16.53265,16.26171,16.10111,1666,301,1,250,3495922040475590656,STAR,-0.000800069,3105,54825,10,G0,0.562,5236,-2.27
1237652629102264370,8.57816961793459,-10.7612955394704,18.54313,17.26137,16.75226,16.54153,16.44762,1666,301,2,248,3495930561690705920,STAR,-0.0001109078,3105,54825,41,G5Vp,0.704,5320,-0.76
1237652629102395475,8.82033641634567,-10.7920093596236,19.58146,19.14805,19.04951,19.04157,18.86746,1666,301,2,250,3495934959737217024,QSO,0.7966537,3105,54825,57,,0,0,0
1237652629102395488,8.84069524381978,-10.662089702348,19.14574,17.86597,17.34951,17.12809,17.00821,1666,301,2,250,3495931661202333696,STAR,7.284305E-05,3105,54825,45,G5Vp,0.704,5320,-0.76
1237652629102461032,8.99526660041069,-10.7778487552849,19.49616,17.65372,16.875,16.52542,16.34385,1666,301,2,251,3495922865109311488,STAR,5.148841E-05,3105,54825,13,K3V,0.95,4775,-0.12
1237652629102461060,9.04693021875126,-10.6270764685493,19.0292,18.60977,18.4434,18.16853,18.06898,1666,301,2,251,3495923689743032320,QSO,1.684554,3105,54825,16,,0,0,0
1237652629102526470,9.11088101810422,-10.780939589642,18.65126,17.30784,17.42944,17.51188,17.6284,1666,301,2,252,3495921765597683712,STAR,-0.0004744112,3105,54825,9,unknown,0,8500,-2
