objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237648721223876839,164.385522163532,-0.117600386378936,19.45144,18.10209,17.56396,17.34624,17.27157,756,301,3,324,310757477287225344,STAR,0.0001450647,276,51909,33,G5Vp,0.704,5320,-0.76
1237648721752621131,145.765233437451,0.30021653595878,17.94163,16.54377,15.9877,15.77288,15.65827,756,301,4,200,299607874944919552,STAR,0.0001260678,266,51630,431,G0V,0.572,5661,-0.37
1237650795682988135,145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1239,301,3,170,299543553514694656,STAR,0.0006633649,266,51630,197,unknown,0,7000,-1.5
1237650797286588665,129.728265184553,0.939308746783394,19.16632,19.06312,19.26382,19.46686,19.53641,1239,301,6,63,14104215353048717312,STAR,2.623054E-05,12527,58930,244,G2V,0.539,5373,-1.08
1237651250408390733,123.663940854889,44.8785754636631,18.69524,17.68203,17.39062,17.23949,17.22007,1345,301,2,105,9320425220878915584,STAR,0.0003462386,8278,56990,821,M1V,1.474,3705,0.6
1237651250445156464,251.962567793649,39.2505943029677,18.20273,17.2699,16.99742,16.88884,16.87774,1345,301,2,666,5840200698617419776,STAR,-0.0007140386,5187,56074,574,M1V,1.474,3705,0.6
1237651800700223583,156.771498503631,-0.313362008167146,19.09336,17.95736,17.50762,17.35088,17.25573,1473,301,3,92,306277792574629888,STAR,-3.953706E-05,272,51941,120,0,0.536,5665,-0.99
1237651800700223614,156.815034773398,-0.257916863557111,18.69099,17.509,16.97835,16.72907,16.62308,1473,301,3,92,306265423068817408,STAR,0.0009084994,272,51941,75,unknown,0,5000,0
1237652628564803695,7.2276943957667,-11.0734381769521,19.23736,17.94219,17.37745,17.17804,17.03579,1666,301,1,239,3495999556045348864,STAR,-0.000727802,3105,54825,292,G8Vp,0.754,5047,-1.34
1237652629101609034,7.11372396411619,-10.7499468797146,18.48771,17.51012,17.17332,17.01096,17.02691,1666,301,2,238,3495997906777907200,STAR,0.0001621201,3105,54825,286,unknown,0,6000,-1.5
1237652629101674636,7.26689781249493,-10.6477495661285,19.06289,17.99869,17.52981,17.3468,17.27864,1666,301,2,239,3495997631900000256,STAR,-0.0001074954,3105,54825,285,unknown,0,6000,-1
1237652630712090738,6.77993418699236,-9.55665814929396,19.38454,17.23577,16.38603,16.08816,15.93154,1666,301,5,236,3496002579702325248,STAR,-5.273576E-05,3105,54825,303,K3Vvar,1,4727,0.05
1237652900751015977,6.74110504265762,-9.99567625548347,18.63254,17.61987,17.32609,17.22018,17.18099,1729,301,4,127,3496006977748836352,STAR,-0.0007022183,3105,54825,319,F7V-VI,0.452,5961,-1.16
1237652901824954484,7.24581472627237,-9.01345389845537,19.58727,18.4927,18.17052,18.00995,17.96614,1729,301,6,130,3496012475306975232,STAR,-0.0008003904,3105,54825,339,unknown,0,6000,-1.5
1237652901825020004,7.34575549651196,-9.03967093703823,19.51356,18.14249,17.57808,17.37179,17.27671,1729,301,6,131,3496010551161626624,STAR,-7.228849E-05,3105,54825,332,G8V,0.692,5285,-0.71
1237652901825085477,7.50544076354714,-9.12602906339201,18.16461,16.82721,16.26513,16.03711,15.93064,1729,301,6,132,3496011100917440512,STAR,-0.0001939654,3105,54825,334,G5III,0.709,5073,-1.44
1237652901825085505,7.41666336525705,-9.06185902037029,19.01567,16.63043,15.66837,15.29084,15.07614,1729,301,6,132,3496009726527905792,STAR,-0.0004339724,3105,54825,329,K0II-III..,1.159,4343,-0.54
1237652901825085554,7.49300638091664,-9.08395685159759,18.90254,16.30028,15.21988,14.78969,14.53626,1729,301,6,132,3496011375795347456,STAR,-0.0001323332,3105,54825,335,K0II-III..,1.159,4343,-0.54
1237652946381242528,7.12086021142144,-10.9561929846638,19.11367,18.02345,17.56907,17.34657,17.27966,1740,301,1,69,3496000105801162752,STAR,-0.0003323692,3105,54825,294,unknown,0,6000,0
1237652946381242545,7.1419342698676,-11.0084564818857,19.17173,16.73398,15.7303,15.38029,15.19139,1740,301,1,69,3495998456533721088,STAR,9.114888E-05,3105,54825,288,K,1.176,4246,0
1237652947454853168,6.89544107270385,-10.0990077666826,17.17651,16.12548,15.74052,15.58362,15.53182,1740,301,3,67,3496005878237208576,STAR,-0.0005758365,3105,54825,315,unknown,0,6000,-1
1237652947991658551,6.75343562660116,-9.74199084647613,18.92563,17.90685,17.60377,17.50725,17.49647,1740,301,4,66,3496003679213953024,STAR,-3.610482E-05,3105,54825,307,unknown,0,6000,-1.5
1237652947991724162,6.78015101847814,-9.72608029779765,19.46421,18.13283,17.55929,17.32586,17.16219,1740,301,4,67,3496006153115115520,STAR,-0.0003269426,3105,54825,316,G5Vp,0.704,5320,-0.76
1237652949065728065,7.43803868912084,-8.92631620138502,19.45906,18.50554,18.13198,17.98868,17.89634,1740,301,6,71,3496009451649998848,STAR,-5.165582E-05,3105,54825,328,F7V-VI,0.452,5961,-1.16
1237652949065793578,7.60721753889227,-8.87804671423206,18.35184,17.19514,16.71874,16.52275,16.41348,1740,301,6,72,3496007802382557184,STAR,-0.0004431739,3105,54825,322,G1V,0.561,5659,-0.6
1237653621763670111,129.780451667584,1.17985048573311,18.63944,17.61663,17.26829,17.15021,17.10966,1897,301,3,51,14104217826949879808,STAR,7.111556E-05,12527,58930,253,O9.5Ib...,-0.199,9899,0.09
1237653665250017345,129.785468350699,1.71670007138841,18.48465,17.43695,17.07684,16.95622,16.91895,1907,301,4,48,14104221125484763136,STAR,3.008374E-05,12527,58930,265,F8V-VI,0.45,5966,-0.72
1237654391642325146,123.86381235718,44.0541362295733,18.92297,17.88305,17.55416,17.41027,17.37387,2076,301,5,139,9320423296733566976,STAR,0.0007597157,8278,56990,814,M1V,1.474,3705,0.6
1237654602628464922,130.19731428145,3.74207556198425,19.02666,17.86688,17.82391,17.86292,17.89329,2125,301,6,76,1337637578387515392,STAR,0.0002237432,1188,52650,249,A3,0.235,7439,-0.26
1237654668664569879,156.203027776466,-1.20991624200969,18.42685,17.44692,17.1624,17.04406,16.98875,2141,301,1,91,306269271359514624,STAR,0.000824061,272,51941,89,unknown,0,6500,-1.5
1237654668664569929,156.198454142717,-1.2273381599248,19.14013,18.12137,17.81142,17.70382,17.65718,2141,301,1,91,306268446725793792,STAR,0.0006503264,272,51941,86,unknown,0,6000,-1.5
1237655129305776330,253.605304480915,37.4362442360217,18.23646,17.35754,17.03383,16.89206,16.8392,2248,301,3,182,12069706238516287488,STAR,-0.0004701147,10720,58250,215,M1V,1.474,3705,0.6
1237655129841598717,252.293310129282,39.7294105655611,19.09857,18.20612,17.94275,17.81117,17.80487,2248,301,4,166,5840217191291836416,STAR,-0.0003428644,5187,56074,634,M1V,1.474,3705,0.6
1237655130378207390,252.354625495898,40.3318718558099,19.00095,18.11881,17.82106,17.72757,17.68527,2248,301,5,162,5840213892756953088,STAR,0.0003616784,5187,56074,622,M1V,1.474,3705,0.6
1237655373578240562,255.973948211755,31.1304436215327,19.36671,18.32659,17.95504,17.78043,17.71589,2305,301,2,124,13120291527632115712,STAR,-0.0007469892,11653,58526,654,M1V,1.474,3705,0.6
1237655374651588989,256.226696671849,32.401432099266,19.31881,18.30924,18.18055,18.11897,18.11578,2305,301,4,118,13120304446893742080,STAR,-0.0002986993,11653,58526,701,M1V,1.474,3705,0.6
1237655374651654330,256.279961978772,32.1975597195222,18.04309,17.14985,16.90761,16.80895,16.80583,2305,301,4,119,13120306371039090688,STAR,-0.0006144256,11653,58526,708,K3V,1.108,4246,-0.28
1237655472899162245,255.959299534055,31.6786035503602,19.04373,18.08503,17.71625,17.58382,17.51833,2328,301,3,121,13120298674457696256,STAR,-2.570428E-05,11653,58526,680,O9.5Ib...,-0.199,9899,0.09
1237655502958821576,252.581404512544,39.2229895330557,19.43793,18.57477,18.23934,18.13833,18.12248,2335,301,3,43,5840232859332532224,STAR,-0.0001033825,5187,56074,691,M1V,1.474,3705,0.6
1237657070088421488,34.387427695722,-0.492529138035676,19.07108,16.62178,15.58108,15.22401,15.03143,2700,301,2,95,8256358544347256832,STAR,-0.0001078988,7333,56686,489,O9.5Vvar,0.18,6537,-2.09
1237657070088486936,34.4631492396807,-0.550535415146868,16.65058,15.75774,15.43836,15.29671,15.29807,2700,301,2,96,8256359643858884608,STAR,-0.0001202883,7333,56686,493,K7V,1.363,3900,0.17
1237648720135651536,131.281489862585,-1.01016493509818,18.907,17.9053,17.59303,17.47087,17.4615,756,301,1,103,14101906378663942144,STAR,6.324866E-05,12525,58932,36,M1V,1.474,3705,0.6
1237648720671998157,130.061176002238,-0.590546165373351,19.42818,18.04379,17.56729,17.42613,17.34788,756,301,2,95,8390268066483951616,STAR,-0.0001000385,7452,56745,225,O9.5Ib...,-0.199,9899,0.09
1237648720671998174,130.068784994529,-0.516259430462682,18.62993,17.2016,16.64119,16.43713,16.31358,756,301,2,95,8390268616239765504,STAR,-0.0001732857,7452,56745,227,O9.5Vvar,0.18,6537,-2.09
1237648720671998186,130.086131412539,-0.457538452540023,18.42687,17.04682,16.58015,16.44538,16.3747,756,301,2,95,8390268891117672448,STAR,-1.014496E-05,7452,56745,228,O9.5Ib...,-0.199,9899,0.09
1237648720671998197,130.091811559716,-0.614710721949888,19.00489,16.83858,16.02169,15.75873,15.63577,756,301,2,95,8390266142338603008,STAR,-5.71415E-05,7452,56745,218,O9.5Vvar,0.18,6537,-2.09
1237648720671998204,130.102639955531,-0.436218080061451,19.05929,17.02757,16.28224,16.06559,15.93445,756,301,2,95,8390260644780464128,STAR,-2.411679E-05,7452,56745,198,O9.5Vvar,0.18,6537,-2.09
1237648720671998339,130.020354013838,-0.444470302512467,19.20171,17.60644,16.95978,16.70713,16.54144,756,301,2,95,8390267516728137728,STAR,0.000172603,7452,56745,223,O9.5Vvar,0.18,6537,-2.09
1237648720671998368,130.042783760168,-0.532049089579467,19.47559,17.35055,16.54602,16.29521,16.12716,756,301,2,95,8390267241850230784,STAR,0.0001111394,7452,56745,222,O9.5Vvar,0.18,6537,-2.09
1237648720671998383,130.052809273121,-0.439034032043431,19.23759,17.41196,16.72346,16.48927,16.38009,756,301,2,95,8390270815263021056,STAR,1.203803E-05,7452,56745,235,O9.5Vvar,0.18,6537,-2.09
